country,city,cityLabel,population,mayor,mayorLabel,genderLabel,birth,age,start_date,duration,birth_country,birth_countryLabel,birth_city,birth_cityLabel,city_lon,city_lat,birth_city_lon,birth_city_lat,distance
Germany,http://www.wikidata.org/entity/Q2100,Duisburg,498590.0,http://www.wikidata.org/entity/Q1453221,Sören Link,male,1976-06-28,44.0,2012-07-01,8,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q512233,Hamborn,6.761111111,51.432222222,6.77778,51.4975,7354.421303539371
Germany,http://www.wikidata.org/entity/Q262669,Burghausen,18701.0,http://www.wikidata.org/entity/Q1582634,Hans Steindl,male,1949-09-02,71.0,1990-01-01,30,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q262669,Burghausen,12.833333333,48.166666666,12.833333333,48.166666666,0.0
Germany,http://www.wikidata.org/entity/Q14950,Sinsheim,35442.0,http://www.wikidata.org/entity/Q1649107,Jörg Albrecht,male,1968-10-23,52.0,2012-01-01,8,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q2966,Heidelberg,8.883333333,49.25,8.71,49.412222222,22005.313541736836
Germany,http://www.wikidata.org/entity/Q2966,Heidelberg,160355.0,http://www.wikidata.org/entity/Q1281405,Eckart Würzner,male,1961-10-10,59.0,2006-01-01,14,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q3896,Goslar,8.71,49.412222222,10.429163,51.906003,302856.205201083
Germany,http://www.wikidata.org/entity/Q3214,Cottbus,100219.0,http://www.wikidata.org/entity/Q1624541,Holger Kelch,male,1967-07-02,53.0,2014-01-01,6,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q435325,Altdöbern,14.334166666,51.760555555,14.03333,51.65,24161.712037407284
Germany,http://www.wikidata.org/entity/Q4190,Passau,52469.0,http://www.wikidata.org/entity/Q1664798,Jürgen Dupper,male,1961-01-22,59.0,2008-05-01,12,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q4190,Passau,13.466666666,48.566666666,13.466666666,48.566666666,0.0
Germany,http://www.wikidata.org/entity/Q3931,Brandenburg an der Havel,72124.0,http://www.wikidata.org/entity/Q1223301,Dietlind Tiemann,female,1955-08-30,65.0,2003-01-01,17,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q284317,Genthin,12.556111111,52.411666666,12.166666666,52.4,26535.47584572655
Germany,http://www.wikidata.org/entity/Q4082,Hattingen,54562.0,http://www.wikidata.org/entity/Q1227859,Dirk Glaser,male,1958-06-09,62.0,2015-10-21,5,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q2103,Bochum,7.185833333,51.399166666,7.216666666,51.483333333,9606.378841618354
Germany,http://www.wikidata.org/entity/Q2973,Darmstadt,159207.0,http://www.wikidata.org/entity/Q1340903,Jochen Partsch,male,1962-04-29,58.0,2011-06-21,9,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q302785,Hammelburg,8.65,49.866666666,9.9,50.116666666,93848.03437619706
Germany,http://www.wikidata.org/entity/Q4037,Schwäbisch Gmünd,61186.0,http://www.wikidata.org/entity/Q1278274,Richard Arnold,male,1959-01-11,61.0,2009-01-01,11,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q4037,Schwäbisch Gmünd,9.8,48.8,9.8,48.8,0.0
